quarter,manufacturer,registrations,lag_q,lag_y,qoq_pct,yoy_pct
2024-04-01,Maa Shakti Exim Pvt Ltd,866,1363.0,1908.0,-36.46,-54.61
2024-04-01,Jmt Vehicles Pvt Ltd,864,1085.0,267.0,-20.37,223.6
2024-04-01,Atut Sangam,834,1477.0,1550.0,-43.53,-46.19
2024-04-01,River Mobility Pvt Ltd,824,588.0,,40.14,
2024-04-01,Euler Motors Pvt Ltd,823,2525.0,1698.0,-67.41,-51.53
2024-04-01,Gayatri Electric Vehicles,810,1321.0,2031.0,-38.68,-60.12
2024-04-01,Supertech Ev Limited,786,1149.0,1534.0,-31.59,-48.76
2024-04-01,Caterpillar India Private Limited,781,1118.0,1434.0,-30.14,-45.54
2024-04-01,Indian Motors,774,1190.0,1581.0,-34.96,-51.04
2024-04-01,Victory Electric International,760,1339.0,2378.0,-43.24,-68.04
2024-04-01,Isuzu Motors India Pvt Ltd,753,1311.0,1658.0,-42.56,-54.58
2024-04-01,Exide Industries Ltd,749,1365.0,1813.0,-45.13,-58.69
2024-04-01,Bhm Industries,748,1116.0,1224.0,-32.97,-38.89
2024-04-01,Bhave Electric Vehicles Pvt Ltd,733,1420.0,1971.0,-48.38,-62.81
2024-04-01,Om Balajee Automobile ( India) Pvt. Ltd,724,1295.0,2085.0,-44.09,-65.28
2024-04-01,Aahana Commerce Pvt Ltd,719,750.0,613.0,-4.13,17.29
2024-04-01,Manita City Motors Llp,706,1040.0,1191.0,-32.12,-40.72
2024-04-01,Byd India Private Limited,672,1079.0,1632.0,-37.72,-58.82
2024-04-01,V.S.T. Tillers Tractors Limited,659,2292.0,2653.0,-71.25,-75.16
2024-04-01,Shriraj Electric Vehicles,652,1170.0,1692.0,-44.27,-61.47
2024-04-01,Gromax Agri Equipment Ltd,652,1930.0,1866.0,-66.22,-65.06
2024-04-01,Akg International,645,673.0,,-4.16,
2024-04-01,Case New Holland Construction Equipment(I) Pvt Ltd,636,1090.0,1425.0,-41.65,-55.37
2024-04-01,Star Bull E Motors,628,940.0,1632.0,-33.19,-61.52
2024-04-01,De Eusi Motors Pvt Ltd.,626,741.0,1320.0,-15.52,-52.58
2024-04-01,Kaptech India Pvt Ltd,624,1088.0,1236.0,-42.65,-49.51
2024-04-01,Ssb Indistries,624,1353.0,2260.0,-53.88,-72.39
2024-04-01,Kartar Agro Industries Pvt Ltd,619,724.0,2429.0,-14.5,-74.52
2024-04-01,Battre Electric Moblity Pvt Ltd,616,2534.0,6108.0,-75.69,-89.91
2024-04-01,Delta Autocorp Llp,610,1253.0,1876.0,-51.32,-67.48
2024-04-01,Gopal Auto Motors Pvt Ltd,610,722.0,1158.0,-15.51,-47.32
2024-04-01,Manku Agro Tech Pvt Ltd,601,1437.0,2432.0,-58.18,-75.29
2024-04-01,Mercedes -Benz Ag,578,687.0,714.0,-15.87,-19.05
2024-04-01,Unique Auto Electric,569,549.0,,3.64,
2024-04-01,Top Team Machines Pvt Ltd,552,699.0,1238.0,-21.03,-55.41
2024-04-01,Goreen E-Mobility Pvt Ltd,550,904.0,2578.0,-39.16,-78.67
2024-04-01,Zenmo Private Limited,548,3.0,,18166.67,
2024-04-01,Volvo Auto India Pvt Ltd,544,1175.0,1451.0,-53.7,-62.51
2024-04-01,Ampere Vehicles Private Limited,543,894.0,59840.0,-39.26,-99.09
2024-04-01,Keto Motors Pvt Ltd,526,2.0,3.0,26200.0,17433.33
2024-04-01,Kumar Engineering,518,1378.0,2018.0,-62.41,-74.33
2024-04-01,Elite Auto Engineers Pvt Ltd,504,913.0,720.0,-44.8,-30.0
2024-04-01,Preet Tractors Pvt Ltd,504,1044.0,3802.0,-51.72,-86.74
2024-04-01,Big Bull Trader Pvt Ltd,502,764.0,665.0,-34.29,-24.51
2024-04-01,Capital Auto Industries,498,1120.0,1527.0,-55.54,-67.39
2024-04-01,Ambika Industries,498,926.0,1343.0,-46.22,-62.92
2024-04-01,Vimal Universal Trade Pvt Ltd,495,532.0,740.0,-6.95,-33.11
2024-04-01,Rayon Engineers,486,747.0,766.0,-34.94,-36.55
2024-04-01,Maniram Electric Vehicle Pvt Ltd,483,605.0,93.0,-20.17,419.35
2024-04-01,E Royce Motors India Pvt Ltd,480,10.0,1737.0,4700.0,-72.37
2024-04-01,Awachat Industries Ltd,472,614.0,705.0,-23.13,-33.05
2024-04-01,B24 Roket Ev,465,513.0,,-9.36,
2024-04-01,Odysse Electric Vehicles Pvt Ltd,462,205.0,210.0,125.37,120.0
2024-04-01,Krishna Engineering Works,462,638.0,591.0,-27.59,-21.83
2024-04-01,Adidev Technoa Pvt Ltd,448,662.0,379.0,-32.33,18.21
2024-04-01,M.K. Enterprises,437,544.0,619.0,-19.67,-29.4
2024-04-01,M/S Schwing Stetter (India) Private Limited,434,610.0,666.0,-28.85,-34.83
2024-04-01,Vrinda Enterprises,434,862.0,699.0,-49.65,-37.91
2024-04-01,Ashma-Motors Pvt Ltd,432,592.0,5.0,-27.03,8540.0
2024-04-01,Ravi Metal Works,430,116.0,,270.69,
2024-04-01,Tata Hitachi Construction Machinery Comp. Pvt Ltd,427,672.0,1058.0,-36.46,-59.64
2024-04-01,A.V.Automotives Pvt Ltd,417,562.0,879.0,-25.8,-52.56
2024-04-01,Others,414,5095.0,10880.0,-91.87,-96.19
2024-04-01,Lohia Auto Industries,414,703.0,1229.0,-41.11,-66.31
2024-04-01,Om Industries,414,433.0,3.0,-4.39,13700.0
2024-04-01,Autoeco Green Energy Pvt Ltd,403,759.0,460.0,-46.9,-12.39
2024-04-01,Eco Smart Vehicles Pvt Ltd,402,871.0,891.0,-53.85,-54.88
2024-04-01,All Terrain Crane,402,532.0,818.0,-24.44,-50.86
2024-04-01,Hindustan Motor Corporation,400,729.0,1160.0,-45.13,-65.52
2024-04-01,"Naik Trolley And Impl,Sng",393,1020.0,1208.0,-61.47,-67.47
2024-04-01,Seth Industrial Corporation,392,655.0,916.0,-40.15,-57.21
2024-04-01,"""Volvo Group India Pvt Ltd""",392,508.0,795.0,-22.83,-50.69
2024-04-01,Srd Renewables,388,910.0,1748.0,-57.36,-77.8
2024-04-01,Captain Tractors Pvt. Ltd.,386,3192.0,1254.0,-87.91,-69.22
2024-04-01,Triumph Motorcycles (India) Pvt Ltd,385,430.0,584.0,-10.47,-34.08
