quarter,manufacturer,registrations
2021-10-01,M/S-Shradha Industries,30
2022-01-01,M/S-Shradha Industries,36
2022-04-01,M/S-Shradha Industries,40
2022-07-01,M/S-Shradha Industries,36
2022-10-01,M/S-Shradha Industries,35
2023-01-01,M/S-Shradha Industries,6
2023-04-01,M/S-Shradha Industries,21
2023-07-01,M/S-Shradha Industries,36
2023-10-01,M/S-Shradha Industries,24
2024-01-01,M/S-Shradha Industries,10
2024-04-01,M/S-Shradha Industries,2
2019-04-01,M/S. Dave Exim (P) Ltd.,1
2019-01-01,"M/S. Guruman Enterprises, Bhawanipatna",11
2019-04-01,"M/S. Guruman Enterprises, Bhawanipatna",9
2019-07-01,"M/S. Guruman Enterprises, Bhawanipatna",3
2019-10-01,"M/S. Guruman Enterprises, Bhawanipatna",3
2020-01-01,"M/S. Guruman Enterprises, Bhawanipatna",20
2020-07-01,"M/S. Guruman Enterprises, Bhawanipatna",40
2020-10-01,"M/S. Guruman Enterprises, Bhawanipatna",1
2021-01-01,"M/S. Guruman Enterprises, Bhawanipatna",2
2021-04-01,"M/S. Guruman Enterprises, Bhawanipatna",5
2021-07-01,"M/S. Guruman Enterprises, Bhawanipatna",4
2022-10-01,"M/S. Guruman Enterprises, Bhawanipatna",8
2019-10-01,M/S. Pallavi Industries,3
2020-07-01,M/S. Pallavi Industries,140
2020-10-01,M/S. Pallavi Industries,2
2024-04-01,M/S. Pallavi Industries,6
2020-01-01,"M/S. S. R. Enterprises,Jaipatna",160
2020-04-01,"M/S. S. R. Enterprises,Jaipatna",83
2020-07-01,"M/S. S. R. Enterprises,Jaipatna",143
2020-10-01,"M/S. S. R. Enterprises,Jaipatna",21
2021-01-01,"M/S. S. R. Enterprises,Jaipatna",1
2021-10-01,"M/S. S. R. Enterprises,Jaipatna",6
2024-01-01,"M/S. S. R. Enterprises,Jaipatna",2
2019-04-01,"M/S. S. R. Enterprises,jaipatna",1
2019-07-01,"M/S. S. R. Enterprises,jaipatna",1
2019-10-01,"M/S. S. R. Enterprises,jaipatna",3
2019-10-01,M/S. Sanjukta Agro Mart,2
2020-01-01,M/S. Sanjukta Agro Mart,80
2020-04-01,M/S. Sanjukta Agro Mart,1
2020-07-01,M/S. Sanjukta Agro Mart,100
2020-10-01,M/S. Sanjukta Agro Mart,98
2021-01-01,M/S. Sanjukta Agro Mart,14
2021-04-01,M/S. Sanjukta Agro Mart,12
2021-07-01,M/S. Sanjukta Agro Mart,64
2021-10-01,M/S. Sanjukta Agro Mart,16
2022-01-01,M/S. Sanjukta Agro Mart,6
2022-04-01,M/S. Sanjukta Agro Mart,23
2022-07-01,M/S. Sanjukta Agro Mart,2
2022-10-01,M/S. Sanjukta Agro Mart,6
2023-07-01,M/S. Sanjukta Agro Mart,3
2019-10-01,"M/S. Venkat Engineering Works, Jaipatna",1
2020-10-01,"M/S. Venkat Engineering Works, Jaipatna",39
2021-01-01,"M/S. Venkat Engineering Works, Jaipatna",48
2021-04-01,"M/S. Venkat Engineering Works, Jaipatna",7
2021-07-01,"M/S. Venkat Engineering Works, Jaipatna",34
2021-10-01,"M/S. Venkat Engineering Works, Jaipatna",90
2022-01-01,"M/S. Venkat Engineering Works, Jaipatna",40
2022-04-01,"M/S. Venkat Engineering Works, Jaipatna",38
2022-07-01,"M/S. Venkat Engineering Works, Jaipatna",4
2022-10-01,"M/S. Venkat Engineering Works, Jaipatna",6
2023-01-01,"M/S. Venkat Engineering Works, Jaipatna",6
2023-07-01,"M/S. Venkat Engineering Works, Jaipatna",12
2023-10-01,"M/S. Venkat Engineering Works, Jaipatna",6
2024-01-01,"M/S. Venkat Engineering Works, Jaipatna",4
2024-04-01,"M/S. Venkat Engineering Works, Jaipatna",2
2020-01-01,"M/S.Sourav Enterprises,Bhawanipatna",40
2020-04-01,"M/S.Sourav Enterprises,Bhawanipatna",20
2020-07-01,"M/S.Sourav Enterprises,Bhawanipatna",60
2020-10-01,"M/S.Sourav Enterprises,Bhawanipatna",1
2022-01-01,"M/S.Sourav Enterprises,Bhawanipatna",10
2022-04-01,"M/S.Sourav Enterprises,Bhawanipatna",2
2023-01-01,"M/S.Sourav Enterprises,Bhawanipatna",3
2019-01-01,"M/S.sourav Enterprises,bhawanipatna",4
2019-04-01,"M/S.sourav Enterprises,bhawanipatna",4
2019-07-01,"M/S.sourav Enterprises,bhawanipatna",2
2019-10-01,"M/S.sourav Enterprises,bhawanipatna",1
2020-01-01,M2Go Electric Vehicle Pvt Ltd,40
2020-04-01,M2Go Electric Vehicle Pvt Ltd,1
2020-07-01,M2Go Electric Vehicle Pvt Ltd,19
2020-10-01,M2Go Electric Vehicle Pvt Ltd,306
2021-01-01,M2Go Electric Vehicle Pvt Ltd,109
2021-04-01,M2Go Electric Vehicle Pvt Ltd,48
2021-07-01,M2Go Electric Vehicle Pvt Ltd,50
2021-10-01,M2Go Electric Vehicle Pvt Ltd,54
2022-01-01,M2Go Electric Vehicle Pvt Ltd,5
2022-04-01,M2Go Electric Vehicle Pvt Ltd,11
2022-10-01,M2Go Electric Vehicle Pvt Ltd,7
2023-01-01,M2Go Electric Vehicle Pvt Ltd,6
2020-01-01,M2J E Vahan Pvt Ltd,320
2020-04-01,M2J E Vahan Pvt Ltd,84
2020-07-01,M2J E Vahan Pvt Ltd,375
2020-10-01,M2J E Vahan Pvt Ltd,293
2021-01-01,M2J E Vahan Pvt Ltd,262
2021-04-01,M2J E Vahan Pvt Ltd,93
2021-07-01,M2J E Vahan Pvt Ltd,220
2021-10-01,M2J E Vahan Pvt Ltd,165
2022-01-01,M2J E Vahan Pvt Ltd,112
2022-04-01,M2J E Vahan Pvt Ltd,51
2022-07-01,M2J E Vahan Pvt Ltd,110
2022-10-01,M2J E Vahan Pvt Ltd,21
2024-04-01,M2J E Vahan Pvt Ltd,8
2019-10-01,M2j E Vahan Pvt Ltd,17
2019-01-01,Maa Adishakti Engineering,14
2019-04-01,Maa Adishakti Engineering,14
2019-07-01,Maa Adishakti Engineering,14
2019-10-01,Maa Adishakti Engineering,12
2020-01-01,Maa Adishakti Engineering,40
2020-04-01,Maa Adishakti Engineering,1
2020-07-01,Maa Adishakti Engineering,40
2020-10-01,Maa Adishakti Engineering,101
2021-01-01,Maa Adishakti Engineering,30
2021-04-01,Maa Adishakti Engineering,5
2021-07-01,Maa Adishakti Engineering,8
2021-10-01,Maa Adishakti Engineering,1
2022-01-01,Maa Adishakti Engineering,7
2022-04-01,Maa Adishakti Engineering,11
2022-07-01,Maa Adishakti Engineering,8
2022-10-01,Maa Adishakti Engineering,7
2023-01-01,Maa Adishakti Engineering,3
2024-01-01,Maa Durga Electric Motor Vehicle Pvt Ltd,18
2024-04-01,Maa Durga Electric Motor Vehicle Pvt Ltd,2
2019-01-01,Maa Engineering Trailor,224
2019-04-01,Maa Engineering Trailor,152
2019-07-01,Maa Engineering Trailor,118
2019-10-01,Maa Engineering Trailor,91
2020-01-01,Maa Engineering Trailor,1503
2020-04-01,Maa Engineering Trailor,188
2020-07-01,Maa Engineering Trailor,1107
2020-10-01,Maa Engineering Trailor,1196
2021-01-01,Maa Engineering Trailor,510
2021-04-01,Maa Engineering Trailor,222
2021-07-01,Maa Engineering Trailor,250
2021-10-01,Maa Engineering Trailor,254
2022-01-01,Maa Engineering Trailor,213
2022-04-01,Maa Engineering Trailor,189
2022-07-01,Maa Engineering Trailor,158
2022-10-01,Maa Engineering Trailor,124
2023-01-01,Maa Engineering Trailor,134
2023-04-01,Maa Engineering Trailor,45
2023-07-01,Maa Engineering Trailor,75
2023-10-01,Maa Engineering Trailor,84
2024-01-01,Maa Engineering Trailor,46
2024-04-01,Maa Engineering Trailor,22
2022-10-01,Maa Jagadhatri Engineering Works,6
2021-01-01,Maa Kalpana Enterprise,11
2021-07-01,Maa Kalpana Enterprise,20
2021-10-01,Maa Kalpana Enterprise,41
2022-01-01,Maa Kalpana Enterprise,42
2022-04-01,Maa Kalpana Enterprise,13
2022-07-01,Maa Kalpana Enterprise,6
2022-10-01,Maa Kalpana Enterprise,42
2023-01-01,Maa Kalpana Enterprise,72
2023-04-01,Maa Kalpana Enterprise,72
2023-07-01,Maa Kalpana Enterprise,135
2023-10-01,Maa Kalpana Enterprise,186
2024-01-01,Maa Kalpana Enterprise,194
2024-04-01,Maa Kalpana Enterprise,150
2022-07-01,Maa Luxmi E-Vehicles Pvt. Ltd.,86
2022-10-01,Maa Luxmi E-Vehicles Pvt. Ltd.,6
2023-01-01,Maa Luxmi E-Vehicles Pvt. Ltd.,9
2023-07-01,Maa Luxmi E-Vehicles Pvt. Ltd.,3
2020-01-01,"Maa Mangala Engg,Ctc",20
2020-07-01,"Maa Mangala Engg,Ctc",20
2020-10-01,"Maa Mangala Engg,Ctc",1
2022-01-01,"Maa Mangala Engg,Ctc",50
2022-04-01,"Maa Mangala Engg,Ctc",34
2022-07-01,"Maa Mangala Engg,Ctc",12
2022-10-01,"Maa Mangala Engg,Ctc",12
2019-01-01,"Maa Mangala Engg,ctc",11
2019-04-01,"Maa Mangala Engg,ctc",6
2019-10-01,"Maa Mangala Engg,ctc",4
2022-01-01,"Maa Mangala Enterprises,Sng",7
2022-04-01,"Maa Mangala Enterprises,Sng",53
2022-07-01,"Maa Mangala Enterprises,Sng",38
2022-10-01,"Maa Mangala Enterprises,Sng",32
2023-01-01,"Maa Mangala Enterprises,Sng",6
2023-04-01,"Maa Mangala Enterprises,Sng",15
2023-07-01,"Maa Mangala Enterprises,Sng",6
2023-10-01,"Maa Mangala Enterprises,Sng",3
2024-04-01,"Maa Mangala Enterprises,Sng",4
2020-01-01,"Maa Mangala Motors & Engg,Rkl",160
2020-04-01,"Maa Mangala Motors & Engg,Rkl",20
2020-07-01,"Maa Mangala Motors & Engg,Rkl",1
2021-01-01,"Maa Mangala Motors & Engg,Rkl",70
2021-04-01,"Maa Mangala Motors & Engg,Rkl",15
2021-07-01,"Maa Mangala Motors & Engg,Rkl",48
2021-10-01,"Maa Mangala Motors & Engg,Rkl",54
2022-01-01,"Maa Mangala Motors & Engg,Rkl",87
2022-04-01,"Maa Mangala Motors & Engg,Rkl",42
2022-07-01,"Maa Mangala Motors & Engg,Rkl",8
2022-10-01,"Maa Mangala Motors & Engg,Rkl",56
2023-01-01,"Maa Mangala Motors & Engg,Rkl",12
2023-04-01,"Maa Mangala Motors & Engg,Rkl",9
2023-10-01,"Maa Mangala Motors & Engg,Rkl",12
2024-01-01,"Maa Mangala Motors & Engg,Rkl",2
2019-01-01,"Maa Mangala Motors & Engg,rkl",7
2019-04-01,"Maa Mangala Motors & Engg,rkl",5
2019-07-01,"Maa Mangala Motors & Engg,rkl",1
2019-10-01,"Maa Mangala Motors & Engg,rkl",6
2019-01-01,Maa Santoshi Engg Kalahandi,1
2019-04-01,Maa Santoshi Engg Kalahandi,1
2020-01-01,Maa Santoshi Engg Kalahandi,20
2021-01-01,Maa Santoshi Engg Kalahandi,10
2021-04-01,Maa Santoshi Engg Kalahandi,6
2021-07-01,Maa Santoshi Engg Kalahandi,8
2021-10-01,Maa Santoshi Engg Kalahandi,6
2022-01-01,Maa Santoshi Engg Kalahandi,7
2022-04-01,Maa Santoshi Engg Kalahandi,5
2022-07-01,Maa Santoshi Engg Kalahandi,6
2022-10-01,Maa Santoshi Engg Kalahandi,5
2019-01-01,Maa Shakti Exim Pvt Ltd,473
2019-04-01,Maa Shakti Exim Pvt Ltd,346
2019-07-01,Maa Shakti Exim Pvt Ltd,515
2019-10-01,Maa Shakti Exim Pvt Ltd,644
2020-01-01,Maa Shakti Exim Pvt Ltd,7924
2020-04-01,Maa Shakti Exim Pvt Ltd,800
2020-07-01,Maa Shakti Exim Pvt Ltd,3445
2020-10-01,Maa Shakti Exim Pvt Ltd,5529
2021-01-01,Maa Shakti Exim Pvt Ltd,3902
2021-04-01,Maa Shakti Exim Pvt Ltd,867
2021-07-01,Maa Shakti Exim Pvt Ltd,2854
2021-10-01,Maa Shakti Exim Pvt Ltd,5424
2022-01-01,Maa Shakti Exim Pvt Ltd,3965
2022-04-01,Maa Shakti Exim Pvt Ltd,3677
2022-07-01,Maa Shakti Exim Pvt Ltd,5444
2022-10-01,Maa Shakti Exim Pvt Ltd,4867
2023-01-01,Maa Shakti Exim Pvt Ltd,2475
2023-04-01,Maa Shakti Exim Pvt Ltd,1908
2023-07-01,Maa Shakti Exim Pvt Ltd,2002
2023-10-01,Maa Shakti Exim Pvt Ltd,2076
2024-01-01,Maa Shakti Exim Pvt Ltd,1363
2024-04-01,Maa Shakti Exim Pvt Ltd,866
2019-01-01,Maa Tarini Engineering,30
2019-04-01,Maa Tarini Engineering,28
2019-07-01,Maa Tarini Engineering,17
2019-10-01,Maa Tarini Engineering,38
2020-01-01,Maa Tarini Engineering,540
2020-04-01,Maa Tarini Engineering,5
2020-07-01,Maa Tarini Engineering,237
2020-10-01,Maa Tarini Engineering,258
2021-01-01,Maa Tarini Engineering,172
2021-04-01,Maa Tarini Engineering,41
2021-07-01,Maa Tarini Engineering,24
2021-10-01,Maa Tarini Engineering,108
2022-01-01,Maa Tarini Engineering,77
2022-04-01,Maa Tarini Engineering,88
2022-07-01,Maa Tarini Engineering,20
2022-10-01,Maa Tarini Engineering,34
2023-01-01,Maa Tarini Engineering,30
2023-04-01,Maa Tarini Engineering,9
2023-07-01,Maa Tarini Engineering,24
2023-10-01,Maa Tarini Engineering,24
2024-01-01,Maa Tarini Engineering,14
2024-04-01,Maa Tarini Engineering,2
2023-04-01,Maaa Manasa Trailor Works,9
2024-01-01,Maaa Manasa Trailor Works,4
2024-04-01,Maaa Manasa Trailor Works,2
2019-01-01,Mac Auto India,183
2019-04-01,Mac Auto India,101
2019-07-01,Mac Auto India,136
2019-10-01,Mac Auto India,107
2020-01-01,Mac Auto India,1921
2020-04-01,Mac Auto India,327
2020-07-01,Mac Auto India,1315
2020-10-01,Mac Auto India,1388
2021-01-01,Mac Auto India,912
2021-04-01,Mac Auto India,515
2021-07-01,Mac Auto India,368
2021-10-01,Mac Auto India,370
2022-01-01,Mac Auto India,1773
2022-04-01,Mac Auto India,433
2022-07-01,Mac Auto India,460
2022-10-01,Mac Auto India,340
2023-01-01,Mac Auto India,381
2023-04-01,Mac Auto India,561
2023-07-01,Mac Auto India,332
2023-10-01,Mac Auto India,438
2024-01-01,Mac Auto India,351
2024-04-01,Mac Auto India,316
2023-10-01,Mac International (Importer: Jhev Motors Pvt Ltd),3
2024-01-01,Mac International (Importer: Jhev Motors Pvt Ltd),30
2024-04-01,Mac International (Importer: Jhev Motors Pvt Ltd),10
2022-07-01,Mac International (Importer: Seeka E Motors),13
2023-07-01,Mac International (Importer:Honesty),3
2024-01-01,Mac International (Importer:Honesty),2
2023-04-01,Machine Works,3
2019-10-01,Macneill Engg Ltd,1
2020-01-01,Macneill Engg Ltd,20
2021-01-01,Macneill Engg Ltd,30
2021-04-01,Macneill Engg Ltd,13
2021-10-01,Macneill Engg Ltd,5
2022-07-01,Macneill Engineering Limited,6
2023-04-01,Macneill Engineering Limited,6
2019-01-01,Macons Equipments Pvt Ltd,10
2019-04-01,Macons Equipments Pvt Ltd,5
2019-07-01,Macons Equipments Pvt Ltd,9
2019-10-01,Macons Equipments Pvt Ltd,5
2020-01-01,Macons Equipments Pvt Ltd,240
2020-04-01,Macons Equipments Pvt Ltd,29
2020-07-01,Macons Equipments Pvt Ltd,79
2020-10-01,Macons Equipments Pvt Ltd,63
2021-01-01,Macons Equipments Pvt Ltd,64
2021-04-01,Macons Equipments Pvt Ltd,26
2021-07-01,Macons Equipments Pvt Ltd,68
2021-10-01,Macons Equipments Pvt Ltd,25
2022-01-01,Macons Equipments Pvt Ltd,6
2022-04-01,Macons Equipments Pvt Ltd,11
2022-07-01,Macons Equipments Pvt Ltd,14
2022-10-01,Macons Equipments Pvt Ltd,23
2023-01-01,Macons Equipments Pvt Ltd,12
2023-04-01,Macons Equipments Pvt Ltd,12
2024-01-01,Macons Equipments Pvt Ltd,2
2020-01-01,"Madhab Engi. Works,Baripada",40
2020-04-01,"Madhab Engi. Works,Baripada",22
2020-07-01,"Madhab Engi. Works,Baripada",78
2021-01-01,"Madhab Engi. Works,Baripada",6
2019-01-01,"Madhab Engi. Works,baripada",2
2019-04-01,"Madhab Engi. Works,baripada",5
2019-07-01,"Madhab Engi. Works,baripada",7
2019-10-01,"Madhab Engi. Works,baripada",4
2023-01-01,Madho Agro Industry,9
2019-01-01,Madhu Automobiles Ltd,10
2019-04-01,Madhu Automobiles Ltd,2
2019-07-01,Madhu Automobiles Ltd,2
2019-10-01,Madhu Automobiles Ltd,1
2021-01-01,"Madhusudan Eng.Works,Nimapada",7
2021-04-01,"Madhusudan Eng.Works,Nimapada",1
2023-01-01,"Madhusudan Eng.Works,Nimapada",3
2021-01-01,Maersk Line,14
2019-01-01,Mahabir Industries,19
2019-04-01,Mahabir Industries,12
2019-07-01,Mahabir Industries,10
2019-10-01,Mahabir Industries,72
2020-01-01,Mahabir Industries,1236
2020-04-01,Mahabir Industries,186
2020-07-01,Mahabir Industries,695
2020-10-01,Mahabir Industries,372
2021-01-01,Mahabir Industries,213
2021-04-01,Mahabir Industries,53
2021-07-01,Mahabir Industries,32
2021-10-01,Mahabir Industries,134
2022-01-01,Mahabir Industries,34
2022-04-01,Mahabir Industries,54
2022-07-01,Mahabir Industries,20
2022-10-01,Mahabir Industries,30
2023-01-01,Mahabir Industries,3
2023-04-01,Mahabir Industries,9
2023-07-01,Mahabir Industries,3
2023-10-01,Mahabir Industries,6
2024-01-01,Mahabir Industries,4
2024-04-01,Mahabir Industries,2
2020-10-01,Mahalakshmi Industries,19
2019-01-01,Mahalaxmi Engineering Works,13
2019-04-01,Mahalaxmi Engineering Works,4
2019-07-01,Mahalaxmi Engineering Works,3
2019-10-01,Mahalaxmi Engineering Works,17
2020-01-01,Mahalaxmi Engineering Works,340
2020-04-01,Mahalaxmi Engineering Works,6
2020-07-01,Mahalaxmi Engineering Works,177
2020-10-01,Mahalaxmi Engineering Works,101
2021-01-01,Mahalaxmi Engineering Works,40
2021-04-01,Mahalaxmi Engineering Works,1
2021-07-01,Mahalaxmi Engineering Works,8
2022-01-01,Mahalaxmi Engineering Works,7
2023-04-01,Mahalaxmi Engineering Works,3
2021-01-01,Maharastra Scooter Limited,2
2021-10-01,Maharastra Scooter Limited,10
2019-01-01,Mahavir Agro Equipments,18
2019-04-01,Mahavir Agro Equipments,10
2019-07-01,Mahavir Agro Equipments,9
2019-10-01,Mahavir Agro Equipments,63
2020-01-01,Mahavir Agro Equipments,800
2020-04-01,Mahavir Agro Equipments,5
2020-07-01,Mahavir Agro Equipments,228
2020-10-01,Mahavir Agro Equipments,229
2021-01-01,Mahavir Agro Equipments,76
2021-04-01,Mahavir Agro Equipments,14
2021-07-01,Mahavir Agro Equipments,20
2021-10-01,Mahavir Agro Equipments,3
2022-01-01,Mahavir Agro Equipments,7
2022-04-01,Mahavir Agro Equipments,6
2022-07-01,Mahavir Agro Equipments,12
2023-10-01,Mahavir Agro Equipments,3
2019-01-01,Mahavir Tractor And Implements,117
2019-04-01,Mahavir Tractor And Implements,91
2019-07-01,Mahavir Tractor And Implements,195
2019-10-01,Mahavir Tractor And Implements,276
2020-01-01,Mahavir Tractor And Implements,3100
2020-04-01,Mahavir Tractor And Implements,1394
2020-07-01,Mahavir Tractor And Implements,2285
2020-10-01,Mahavir Tractor And Implements,3390
2021-01-01,Mahavir Tractor And Implements,1675
2021-04-01,Mahavir Tractor And Implements,38
2021-07-01,Mahavir Tractor And Implements,91
2021-10-01,Mahavir Tractor And Implements,11
2022-01-01,Mahavir Tractor And Implements,12
2022-04-01,Mahavir Tractor And Implements,65
2022-07-01,Mahavir Tractor And Implements,119
2022-10-01,Mahavir Tractor And Implements,120
2023-01-01,Mahavir Tractor And Implements,3
2023-04-01,Mahavir Tractor And Implements,18
2023-10-01,Mahavir Tractor And Implements,3
2024-01-01,Mahavir Tractor And Implements,2
2021-01-01,Mahesh Engineering Works,66
2021-04-01,Mahesh Engineering Works,7
2021-07-01,Mahesh Engineering Works,16
2021-10-01,Mahesh Engineering Works,35
2022-04-01,Mahesh Engineering Works,18
2022-07-01,Mahesh Engineering Works,6
2022-10-01,Mahesh Engineering Works,19
2024-04-01,Mahesh Engineering Works,2
2019-01-01,Mahi Enterprises,34
2019-04-01,Mahi Enterprises,14
2019-07-01,Mahi Enterprises,22
2019-10-01,Mahi Enterprises,22
2020-01-01,Mahi Enterprises,360
2020-04-01,Mahi Enterprises,21
2020-10-01,Mahi Enterprises,95
2021-01-01,Mahi Enterprises,43
2021-04-01,Mahi Enterprises,1
2021-10-01,Mahi Enterprises,48
2022-01-01,Mahi Enterprises,68
2022-04-01,Mahi Enterprises,85
2022-07-01,Mahi Enterprises,108
2022-10-01,Mahi Enterprises,205
2023-01-01,Mahi Enterprises,96
2023-04-01,Mahi Enterprises,69
2023-07-01,Mahi Enterprises,12
2023-10-01,Mahi Enterprises,3
2024-01-01,Mahi Enterprises,2
2019-01-01,Mahindra & Mahindra Limited,152937
2019-04-01,Mahindra & Mahindra Limited,139588
2019-07-01,Mahindra & Mahindra Limited,120719
2019-10-01,Mahindra & Mahindra Limited,136080
2020-01-01,Mahindra & Mahindra Limited,3192188
2020-04-01,Mahindra & Mahindra Limited,589961
2020-07-01,Mahindra & Mahindra Limited,1604766
2020-10-01,Mahindra & Mahindra Limited,2206373
2021-01-01,Mahindra & Mahindra Limited,971746
2021-04-01,Mahindra & Mahindra Limited,404241
2021-07-01,Mahindra & Mahindra Limited,635225
2021-10-01,Mahindra & Mahindra Limited,632058
2022-01-01,Mahindra & Mahindra Limited,748669
2022-04-01,Mahindra & Mahindra Limited,797902
2022-07-01,Mahindra & Mahindra Limited,845839
2022-10-01,Mahindra & Mahindra Limited,977195
2023-01-01,Mahindra & Mahindra Limited,529236
2023-04-01,Mahindra & Mahindra Limited,498926
2023-07-01,Mahindra & Mahindra Limited,532385
2023-10-01,Mahindra & Mahindra Limited,553870
2024-01-01,Mahindra & Mahindra Limited,387503
2024-04-01,Mahindra & Mahindra Limited,230342
2019-01-01,Mahindra & Mahindra Limited (Swaraj Division),24168
2019-04-01,Mahindra & Mahindra Limited (Swaraj Division),18710
2019-07-01,Mahindra & Mahindra Limited (Swaraj Division),22856
2019-10-01,Mahindra & Mahindra Limited (Swaraj Division),22178
2020-01-01,Mahindra & Mahindra Limited (Swaraj Division),561830
2020-04-01,Mahindra & Mahindra Limited (Swaraj Division),203338
2020-07-01,Mahindra & Mahindra Limited (Swaraj Division),693335
2020-10-01,Mahindra & Mahindra Limited (Swaraj Division),593135
2021-01-01,Mahindra & Mahindra Limited (Swaraj Division),294914
2021-04-01,Mahindra & Mahindra Limited (Swaraj Division),118688
2021-07-01,Mahindra & Mahindra Limited (Swaraj Division),198994
2021-10-01,Mahindra & Mahindra Limited (Swaraj Division),154655
2022-01-01,Mahindra & Mahindra Limited (Swaraj Division),171754
2022-04-01,Mahindra & Mahindra Limited (Swaraj Division),163911
2022-07-01,Mahindra & Mahindra Limited (Swaraj Division),165764
2022-10-01,Mahindra & Mahindra Limited (Swaraj Division),213133
2023-01-01,Mahindra & Mahindra Limited (Swaraj Division),120687
2023-04-01,Mahindra & Mahindra Limited (Swaraj Division),117877
2023-07-01,Mahindra & Mahindra Limited (Swaraj Division),121985
2023-10-01,Mahindra & Mahindra Limited (Swaraj Division),113742
2024-01-01,Mahindra & Mahindra Limited (Swaraj Division),93478
2024-04-01,Mahindra & Mahindra Limited (Swaraj Division),49683
2019-01-01,Mahindra & Mahindra Limited (Tractor),35552
2019-04-01,Mahindra & Mahindra Limited (Tractor),27485
2019-07-01,Mahindra & Mahindra Limited (Tractor),35738
2019-10-01,Mahindra & Mahindra Limited (Tractor),32867
2020-01-01,Mahindra & Mahindra Limited (Tractor),756640
2020-04-01,Mahindra & Mahindra Limited (Tractor),317977
2020-07-01,Mahindra & Mahindra Limited (Tractor),1026448
2020-10-01,Mahindra & Mahindra Limited (Tractor),820323
2021-01-01,Mahindra & Mahindra Limited (Tractor),396056
2021-04-01,Mahindra & Mahindra Limited (Tractor),159002
2021-07-01,Mahindra & Mahindra Limited (Tractor),284107
2021-10-01,Mahindra & Mahindra Limited (Tractor),222275
2022-01-01,Mahindra & Mahindra Limited (Tractor),233155
2022-04-01,Mahindra & Mahindra Limited (Tractor),222206
2022-07-01,Mahindra & Mahindra Limited (Tractor),235310
2022-10-01,Mahindra & Mahindra Limited (Tractor),308758
2023-01-01,Mahindra & Mahindra Limited (Tractor),159182
2023-04-01,Mahindra & Mahindra Limited (Tractor),156116
2023-07-01,Mahindra & Mahindra Limited (Tractor),160290
2023-10-01,Mahindra & Mahindra Limited (Tractor),148556
2024-01-01,Mahindra & Mahindra Limited (Tractor),118846
2024-04-01,Mahindra & Mahindra Limited (Tractor),60017
2022-07-01,Mahindra & Mahindra Ltd Farm Machinery Division,6
2023-01-01,Mahindra & Mahindra Ltd Farm Machinery Division,36
2023-04-01,Mahindra & Mahindra Ltd Farm Machinery Division,42
2023-07-01,Mahindra & Mahindra Ltd Farm Machinery Division,28
2023-10-01,Mahindra & Mahindra Ltd Farm Machinery Division,62
2024-01-01,Mahindra & Mahindra Ltd Farm Machinery Division,93
2024-04-01,Mahindra & Mahindra Ltd Farm Machinery Division,54
2019-10-01,Mahindra Defence Systems Ltd,1
2020-01-01,Mahindra Defence Systems Ltd,20
2020-04-01,Mahindra Defence Systems Ltd,1
2020-07-01,Mahindra Defence Systems Ltd,20
2020-10-01,Mahindra Defence Systems Ltd,1
2021-01-01,Mahindra Defence Systems Ltd,12
2021-07-01,Mahindra Defence Systems Ltd,40
2021-10-01,Mahindra Defence Systems Ltd,35
2022-01-01,Mahindra Defence Systems Ltd,44
2022-04-01,Mahindra Defence Systems Ltd,30
2022-07-01,Mahindra Defence Systems Ltd,36
2022-10-01,Mahindra Defence Systems Ltd,61
2023-01-01,Mahindra Defence Systems Ltd,48
2023-04-01,Mahindra Defence Systems Ltd,24
2023-07-01,Mahindra Defence Systems Ltd,69
2023-10-01,Mahindra Defence Systems Ltd,15
2024-01-01,Mahindra Defence Systems Ltd,14
2024-04-01,Mahindra Defence Systems Ltd,8
2020-01-01,Mahindra Electric Mobility Limited,27673
2020-04-01,Mahindra Electric Mobility Limited,6606
2020-07-01,Mahindra Electric Mobility Limited,14523
2020-10-01,Mahindra Electric Mobility Limited,16665
2021-01-01,Mahindra Electric Mobility Limited,15422
2021-04-01,Mahindra Electric Mobility Limited,5669
2021-07-01,Mahindra Electric Mobility Limited,11231
2021-10-01,Mahindra Electric Mobility Limited,15127
2022-01-01,Mahindra Electric Mobility Limited,17787
2022-04-01,Mahindra Electric Mobility Limited,21158
2022-07-01,Mahindra Electric Mobility Limited,26494
2022-10-01,Mahindra Electric Mobility Limited,31540
2023-01-01,Mahindra Electric Mobility Limited,13118
2023-04-01,Mahindra Electric Mobility Limited,1798
2023-07-01,Mahindra Electric Mobility Limited,492
2023-10-01,Mahindra Electric Mobility Limited,155
2024-01-01,Mahindra Electric Mobility Limited,75
2024-04-01,Mahindra Electric Mobility Limited,20
2019-01-01,Mahindra Gujarat Tractor Limited,68
2019-04-01,Mahindra Gujarat Tractor Limited,26
2019-07-01,Mahindra Gujarat Tractor Limited,31
2019-10-01,Mahindra Gujarat Tractor Limited,25
2020-01-01,Mahindra Gujarat Tractor Limited,679
2020-04-01,Mahindra Gujarat Tractor Limited,53
2020-07-01,Mahindra Gujarat Tractor Limited,240
2020-10-01,Mahindra Gujarat Tractor Limited,218
2021-01-01,Mahindra Gujarat Tractor Limited,65
2021-04-01,Mahindra Gujarat Tractor Limited,18
2021-07-01,Mahindra Gujarat Tractor Limited,26
2021-10-01,Mahindra Gujarat Tractor Limited,19
